Time,Theoretical,Seven_day_modulated,Fourteen_day_modulated,Twentyone_day_modulated,Different_day_modulated
80,342.8610350873661,346.5184964305621,234.33811226658082,238.86944909970566,434.8969881303157
81,344.26445093298815,289.31680220749035,200.57655526881902,220.5194261745809,401.956368700731
82,346.0472553625608,297.7488417023161,243.57334035803467,266.2579239621874,405.9037235564969
83,348.3326589371755,326.3390364306054,302.7852686059892,317.3241754695036,393.4667945158429
84,351.27501285850263,354.3357108876065,354.3357108876065,354.3357108876065,354.3357108876065
85,354.9119918883286,400.6114011853541,424.6100543137061,409.7965355051252,332.21572905480497
86,359.3829842584929,368.0442789220042,424.3075581276404,400.74877178853137,255.72139931367917
87,364.87783324107545,413.36099372564126,507.414704285966,486.27772222179897,293.9769537880764
88,371.4785408073644,335.02979781530956,456.5735171412065,451.6639642249733,239.27463821540195
89,379.1507432220237,342.7837071395809,461.28487483455064,485.78244679243227,283.4256822432726
90,387.9849127674173,329.15629453711347,403.92550350086583,466.90059638776336,302.92129669722976
91,398.18208424930157,411.52610912304806,411.52610912304806,514.9768492105673,411.52610912304806
92,409.9432632027804,422.007020573324,343.0061818781724,480.016166136529,449.7268113968578
93,423.2335847460554,480.4018373011099,348.1228561920938,502.48230957069785,546.6612607874539
94,438.2378684993491,518.418172416165,375.0315305630477,522.8014191291803,631.3817286680975
95,455.17152472202235,399.70331097766183,282.37480554000274,395.1506941615298,548.630460109118
96,474.3957422818418,447.39818843336434,373.1290625396068,422.6485409342185,595.6675784184471
97,496.168656024155,472.00111729336845,438.45088585224306,401.7906214156311,567.6185928774595
98,520.4536164437807,592.4207384934457,592.4207384934457,457.20292249390684,592.4207384934457
99,547.1234745379661,585.0059710176414,622.0016961098122,390.763518421266,479.5689087748985
100,576.326113405157,603.2780708662965,693.5049275966377,385.913581097372,423.15098781948274
101,608.1998260758834,586.0937739259953,742.8680287401718,395.1355571453158,387.09743676486625
102,642.5558796059496,661.9451323567542,872.1823948169015,533.5375713913259,496.31499751827124
103,678.9413175256043,632.8577652446137,845.0565815767029,571.0728938166562,526.5659635027986
104,717.876533789842,673.5654716893789,811.9086360723794,654.9868027839166,625.0236632490861
105,759.6328880854524,735.5928260857173,735.5928260857173,735.5928260857173,735.5928260857173
106,804.0986859368228,784.3547894482649,629.3956126920034,805.1648905592047,838.7268193762737
107,850.785149165082,930.2080340053255,664.3005145400045,1007.6310007582628,1007.6310007582628
108,899.1318800839714,999.3143656032203,705.1282394480544,1178.995752658065,1178.995752658065
109,948.4083644804582,923.8806729728923,679.4116543605708,1221.655125211017,1221.655125211017
110,998.2086953156077,1020.5156810960287,864.2409074143679,1396.9954530400903,1396.9954530400903
111,1048.3179747481865,1032.390466471262,961.504669374516,1404.5694425020608,1404.5694425020608
112,1098.8020947925188,1016.1081990861593,1016.1081990861593,1301.5853574327227,1301.5853574327227
113,1148.5983252173146,1199.9830371852406,1277.6496515028807,1362.5157909146908,1362.5157909146908
114,1197.295925905635,1315.319954411967,1502.7628716385288,1377.7839469760552,1377.7839469760552
115,1244.0916181333782,1377.6335763473624,1698.320179649825,1390.0769567301354,1390.0769567301354
116,1287.9096928761098,1518.432390663087,1939.8223689046854,1505.5507427413986,1505.5507427413986
117,1328.009459491563,1332.9415257169235,1748.0024862266657,1263.6580919326034,1263.6580919326034
118,1364.622371228591,1176.964331141316,1439.94294673549,983.8630293832525,983.8630293832525
119,1398.0211099920377,1371.3849753898526,1371.3849753898526,1008.1684365058456,1008.1684365058456
120,1427.7824256381728,1406.3130139018015,1131.1627206188539,899.4147120803249,899.4147120803249
121,1453.572050625356,1549.7814391952431,1095.4766846691261,1001.5589315254688,1001.5589315254688
122,1475.3171813141153,1431.501151705782,948.7934910893833,968.2916504020246,968.2916504020246
123,1493.0758112827841,1397.4086839763597,1012.542004212256,1099.0342867474756,1099.0342867474756
124,1506.7511754891318,1495.303196663246,1259.4134473060817,1358.1861509798257,1358.1861509798257
125,1516.2715138420856,1345.7381136614897,1243.2099519178125,1306.4969557457428,1306.4969557457428
126,1521.8146878413058,1451.1446320379534,1451.1446320379534,1451.1446320379534,1451.1446320379534
127,1523.5457354708265,1518.7510102915228,1621.7710447406507,1558.1804253083508,1558.1804253083508
128,1522.0878206886246,1600.1304306642712,1838.42121175842,1738.6431384282382,1738.6431384282382
129,1518.1535330299946,1162.6364927569634,1553.9673985382342,1466.0223904425918,1466.0223904425918
130,1511.8913958390563,1363.6217893252456,1858.296133279861,1838.3146000388365,1838.3146000388365
131,1503.1724831529339,1065.9952912034926,1535.8023473280314,1632.92486846096,1632.92486846096
132,1492.1827718374154,1306.9418038991023,1594.5027935361004,1836.7038316909557,1836.7038316909557
133,1479.4011545349713,1499.8726717527586,1499.8726717527586,1884.2323664173525,1884.2323664173525
134,1465.251674209358,1652.56410673755,1370.1930531004152,1859.9049884778015,1859.9049884778015
135,1449.8835450470372,1841.0306945490124,1387.8787591216155,1916.6724076936625,1916.6724076936625
136,1433.4973524597447,1464.3415079875258,995.3168383979723,1478.6793208739416,1478.6793208739416
